policy_number,incident_date,incident_type,collision_type,incident_severity,total_claim_amount,injury_claim,property_claim,vehicle_claim,fraud_reported
795697,11/26/23 16:56,Multi-vehicle Collision,Front Collision,Minor Damage,67253,11362,11390,46297,N
792268,2/14/18 10:45,Single Vehicle Collision,Rear Collision,Total Loss,52481,9427,9428,33509,N
568504,1/25/21 2:32,Single Vehicle Collision,Side Collision,Minor Damage,62665,5441,11077,44771,N
971810,10/29/23 3:24,Parked Car,?,Minor Damage,6614,670,667,5423,N
898345,1/20/18 0:28,Multi-vehicle Collision,Front Collision,Total Loss,66431,12218,6086,48589,N
745816,4/25/20 14:50,Multi-vehicle Collision,Front Collision,Minor Damage,68881,13772,6982,47879,N
169716,7/3/21 7:05,Single Vehicle Collision,Rear Collision,Major Damage,60329,6594,6559,47215,N
803230,3/7/18 16:43,Multi-vehicle Collision,Front Collision,Minor Damage,69390,11309,11447,46011,N
253297,8/19/20 14:43,Single Vehicle Collision,Rear Collision,Minor Damage,43803,7764,7884,26969,N
592929,1/23/19 21:45,Multi-vehicle Collision,Rear Collision,Major Damage,47802,8800,8668,30100,N
170389,9/8/17 22:56,Single Vehicle Collision,Rear Collision,Major Damage,59890,6733,6710,46748,N
780399,4/1/16 7:38,Parked Car,?,Trivial Damage,3409,432,429,2591,
342589,7/13/18 12:51,Single Vehicle Collision,Side Collision,Total Loss,105034,8541,17414,79150,N
174370,9/25/16 14:54,Single Vehicle Collision,Rear Collision,Major Damage,59614,6596,6696,47025,
963123,9/30/18 14:34,Single Vehicle Collision,Front Collision,Minor Damage,86752,17274,8728,60688,N
481062,1/1/18 13:23,Multi-vehicle Collision,Front Collision,Total Loss,53702,5881,5968,42292,N
810865,3/20/22 20:23,Multi-vehicle Collision,Side Collision,Total Loss,50228,9963,5025,35168,N
841050,5/26/22 0:47,Vehicle Theft,?,Trivial Damage,4561,421,838,3391,N
691460,3/9/17 0:50,Parked Car,?,Minor Damage,6486,535,1068,4864,N
268572,6/18/18 10:55,Multi-vehicle Collision,Rear Collision,Total Loss,74554,6129,12491,54443,N
494689,4/25/16 8:29,Multi-vehicle Collision,Side Collision,Minor Damage,63594,11204,5737,45604,
653291,6/20/20 0:05,Single Vehicle Collision,Side Collision,Total Loss,46728,4643,9478,32386,N
483032,1/26/17 13:59,Single Vehicle Collision,Front Collision,Minor Damage,53485,5314,5214,42710,Y
690083,5/23/18 16:17,Multi-vehicle Collision,Rear Collision,Minor Damage,34669,7690,3842,22995,N
493115,6/25/23 9:26,Single Vehicle Collision,Side Collision,Major Damage,49772,10086,5035,34840,N
266261,3/8/24 11:08,Multi-vehicle Collision,Rear Collision,Total Loss,74670,6060,12310,56481,N
340989,6/9/20 4:55,Single Vehicle Collision,Side Collision,Total Loss,103137,8731,17070,76602,N
389840,9/1/23 16:00,Multi-vehicle Collision,Rear Collision,Total Loss,79902,14652,14867,51481,N
484622,10/25/21 21:32,Multi-vehicle Collision,Front Collision,Total Loss,53443,5909,5945,42189,N
561446,2/11/20 18:30,Single Vehicle Collision,Side Collision,Minor Damage,61854,5521,11218,45122,N
290970,12/10/17 23:04,Single Vehicle Collision,Rear Collision,Total Loss,53265,6738,6645,40489,Y
902669,11/30/20 0:35,Multi-vehicle Collision,Front Collision,Total Loss,66446,12097,6003,47927,N
770675,12/20/21 6:46,Multi-vehicle Collision,Front Collision,Minor Damage,58277,5271,10601,43183,N
930926,7/8/23 6:45,Single Vehicle Collision,Front Collision,Minor Damage,88556,17512,8627,61330,N
469854,11/12/20 14:34,Single Vehicle Collision,Front Collision,Major Damage,85424,15718,7698,61898,N
649625,5/1/23 0:11,Single Vehicle Collision,Side Collision,Total Loss,47147,4685,9417,32504,N
161885,10/7/20 17:29,Multi-vehicle Collision,Side Collision,Major Damage,79008,7168,14405,57022,N
140926,3/5/19 7:31,Parked Car,?,Trivial Damage,5985,661,660,4587,N
141753,3/21/18 23:28,Parked Car,?,Trivial Damage,5891,661,670,4671,N
616492,1/21/21 6:35,Multi-vehicle Collision,Side Collision,Total Loss,42332,4188,4302,33993,N
923697,8/13/23 3:50,Multi-vehicle Collision,Side Collision,Total Loss,60323,11127,5481,44576,Y
499929,9/21/21 18:15,Single Vehicle Collision,Front Collision,Minor Damage,99451,18469,18073,64329,N
680896,2/20/18 8:52,Parked Car,?,Minor Damage,6508,542,1080,4886,N
155045,12/3/19 1:25,Multi-vehicle Collision,Side Collision,Total Loss,67555,13663,6917,48080,N
762285,1/5/21 22:44,Multi-vehicle Collision,Front Collision,Minor Damage,57572,5250,10569,41754,N
906657,5/29/20 1:24,Multi-vehicle Collision,Rear Collision,Total Loss,63207,9777,9774,44895,Y
268231,6/1/19 18:58,Multi-vehicle Collision,Rear Collision,Total Loss,72829,6074,12240,54904,N
679592,11/11/23 9:05,Parked Car,?,Minor Damage,6689,534,1077,4831,N
680572,2/3/19 16:54,Parked Car,?,Minor Damage,6545,532,1082,4897,N
130534,3/21/21 20:09,Single Vehicle Collision,Rear Collision,Major Damage,42998,7687,7788,26732,N
215186,3/18/16 9:14,Multi-vehicle Collision,Front Collision,Major Damage,36681,3608,7350,25680,
517365,3/6/16 13:00,Multi-vehicle Collision,Front Collision,Major Damage,68636,11328,5710,51677,
890405,2/21/17 8:38,Single Vehicle Collision,Rear Collision,Major Damage,48367,9741,4836,33921,N
596691,8/16/23 7:05,Single Vehicle Collision,Rear Collision,Minor Damage,91110,14139,14229,64549,N
798666,12/13/22 8:54,Multi-vehicle Collision,Front Collision,Minor Damage,68155,11514,11308,46148,N
594917,11/8/18 14:54,Single Vehicle Collision,Rear Collision,Minor Damage,93556,14179,14105,63700,N
472026,1/2/18 14:28,Single Vehicle Collision,Front Collision,Major Damage,85663,15541,7834,62600,N
139505,2/16/20 15:33,Parked Car,?,Trivial Damage,5930,654,663,4564,N
201288,3/12/20 0:45,Single Vehicle Collision,Rear Collision,Total Loss,60049,6073,5973,48719,Y
479719,11/29/19 5:27,Multi-vehicle Collision,Front Collision,Total Loss,54076,6036,5995,41304,N
810578,6/29/16 20:10,Multi-vehicle Collision,Side Collision,Total Loss,50322,10098,5103,34998,
140093,4/24/16 7:24,Parked Car,?,Trivial Damage,5942,657,660,4523,
896600,2/4/18 16:40,Single Vehicle Collision,Rear Collision,Major Damage,47779,9623,4814,34092,N
175899,2/23/22 10:06,Multi-vehicle Collision,Side Collision,Total Loss,74945,8473,8384,58419,N
247599,12/1/18 14:40,Vehicle Theft,?,Trivial Damage,5828,968,977,3798,N
153122,10/13/22 1:32,Multi-vehicle Collision,Side Collision,Total Loss,68194,13763,6784,47742,N
617579,10/16/23 14:27,Single Vehicle Collision,Side Collision,Total Loss,89935,8167,16463,65010,N
735219,7/2/16 6:41,Multi-vehicle Collision,Front Collision,Minor Damage,69601,13767,6805,48451,
952758,7/21/19 14:27,Single Vehicle Collision,Front Collision,Minor Damage,78444,6530,12873,58152,N
924217,9/15/21 11:46,Multi-vehicle Collision,Side Collision,Total Loss,60978,11165,5425,43720,Y
511825,10/25/19 17:49,Multi-vehicle Collision,Rear Collision,Total Loss,36519,3634,7254,25335,N
687274,7/28/23 3:17,Single Vehicle Collision,Front Collision,Minor Damage,63963,10874,10681,43112,N
364507,2/27/21 21:28,Single Vehicle Collision,Side Collision,Total Loss,49548,8966,9020,31508,N
695294,2/11/24 16:30,Multi-vehicle Collision,Rear Collision,Minor Damage,34599,7792,3871,23037,N
698394,4/19/20 8:21,Multi-vehicle Collision,Rear Collision,Minor Damage,34931,7705,3864,23440,N
283798,1/31/18 20:42,Parked Car,?,Trivial Damage,3877,645,320,2904,N
251404,10/11/21 14:46,Vehicle Theft,?,Trivial Damage,5754,965,960,3863,N
592378,12/29/15 14:47,Single Vehicle Collision,Rear Collision,Minor Damage,91971,14045,13982,63824,
347394,4/2/24 13:04,Single Vehicle Collision,Side Collision,Total Loss,100652,8658,17265,77874,N
394921,4/28/21 2:40,Single Vehicle Collision,Rear Collision,Minor Damage,81315,15077,7517,59147,Y
913595,8/29/22 19:48,Multi-vehicle Collision,Side Collision,Total Loss,60769,11110,5570,44318,Y
494334,7/28/21 17:22,Single Vehicle Collision,Side Collision,Major Damage,49798,10054,4945,34258,N
683124,11/28/22 1:03,Parked Car,?,Minor Damage,6508,543,1070,4849,N
766334,6/18/16 8:17,Multi-vehicle Collision,Rear Collision,Major Damage,70738,6972,14140,50352,
787684,1/28/19 18:47,Single Vehicle Collision,Rear Collision,Total Loss,50958,9409,9454,32924,N
484248,4/8/17 16:31,Multi-vehicle Collision,Side Collision,Minor Damage,61669,11360,5689,45628,N
360706,2/11/22 5:30,Single Vehicle Collision,Side Collision,Total Loss,48806,9083,8809,31243,N
396525,10/21/20 15:53,Multi-vehicle Collision,Rear Collision,Total Loss,80530,14705,14749,51979,N
957618,3/12/16 11:07,Parked Car,?,Minor Damage,6668,665,670,5251,
797714,12/30/21 0:51,Multi-vehicle Collision,Front Collision,Minor Damage,68588,11487,11589,45631,N
284026,12/27/16 15:02,Single Vehicle Collision,Rear Collision,Total Loss,52785,6832,6650,39671,Y
807709,5/27/18 12:14,Multi-vehicle Collision,Side Collision,Total Loss,50430,10077,5095,35338,N
282552,2/17/17 12:40,Parked Car,?,Trivial Damage,3862,635,320,2898,N
