months_as_customer,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit
154,34,795697,3/30/22 19:28,IL,500/1000,998,856.9994519,3998347
172,36,792268,4/27/01 22:40,OH,250/500,987,1282.389619,0
353,47,568504,12/25/11 9:00,IN,250/500,1976,1145.490048,0
47,37,971810,12/17/21 10:10,IN,250/500,1999,1255.267879,0
301,50,898345,1/25/01 21:42,IL,100/300,1995,1376.096761,0
274,45,745816,4/5/09 20:16,IL,500/1000,502,944.7854298,0
146,32,169716,7/23/13 13:45,OH,100/300,1999,1256.039281,0
155,34,803230,7/13/01 20:31,IL,500/1000,998,873.0671606,3968326
274,40,253297,5/30/10 16:47,OH,250/500,1979,1203.228513,0
94,31,592929,9/22/04 2:51,IL,100/300,1961,1012.063984,0
146,32,170389,10/2/99 6:26,OH,100/300,2021,1280.450987,0
17,39,780399,7/17/94 16:22,IL,250/500,1006,843.7157582,0
348,51,342589,10/19/02 13:52,OH,500/1000,504,1478.245517,8923798
147,32,174370,4/19/96 10:37,OH,100/300,2011,1304.103027,0
3,38,963123,8/1/03 18:51,OH,500/1000,1016,1307.031062,0
212,37,481062,11/20/00 1:55,OH,250/500,1985,1294.698001,3970929
212,36,810865,2/21/16 16:06,IL,250/500,502,1141.799441,0
85,30,841050,10/18/16 5:28,IN,500/1000,1998,1811.723073,0
140,30,691460,12/5/97 13:15,IN,500/1000,992,1374.052426,0
127,30,268572,7/20/02 19:10,IL,500/1000,2000,930.2258412,0
155,36,494689,10/12/94 16:18,OH,250/500,1994,876.6817051,0
24,33,653291,10/23/09 7:34,IL,500/1000,998,1900.040333,0
408,56,483032,7/8/97 12:20,IN,250/500,1015,1369.422106,3960362
135,29,690083,4/18/02 11:56,OH,100/300,1985,1401.167656,4874635
26,39,493115,9/18/20 6:22,IN,250/500,1002,774.7242555,0
125,30,266261,4/6/23 18:07,IL,500/1000,1995,929.2033011,0
344,51,340989,9/14/09 5:31,OH,500/1000,502,1483.443336,9024373
213,41,389840,5/23/21 9:17,IL,500/1000,504,1231.076556,0
214,37,484622,9/11/14 9:14,OH,250/500,1994,1274.481063,4001948
354,46,561446,7/12/08 13:11,IN,250/500,1980,1171.194042,0
120,28,290970,9/2/00 21:49,OH,250/500,1994,1069.917196,0
306,48,902669,6/5/11 9:10,IL,100/300,1936,1358.90806,0
262,45,770675,3/30/15 20:32,IL,250/500,495,1309.293928,0
3,38,930926,11/3/20 21:59,OH,500/1000,993,1300.095342,0
427,60,469854,4/3/11 8:11,IN,100/300,993,1547.996672,0
24,33,649625,3/1/20 19:03,IL,500/1000,1009,1936.452609,0
314,44,161885,11/24/10 11:25,IL,100/300,2022,1295.907073,4981807
277,46,140926,2/15/05 8:59,IL,250/500,493,1438.113448,0
273,46,141753,9/3/01 13:10,IL,250/500,496,1427.762902,0
154,37,616492,12/11/11 12:09,IN,500/1000,502,1036.308345,0
335,47,923697,3/13/21 18:44,IL,100/300,1972,1123.690724,0
252,40,499929,5/10/14 19:46,IL,250/500,2014,1256.898921,0
142,31,680896,5/19/01 9:05,IN,500/1000,993,1361.644217,0
434,58,155045,10/30/07 14:26,OH,500/1000,1014,1349.051822,0
254,46,762285,10/17/11 0:43,IL,250/500,504,1287.035907,0
103,32,906657,8/4/09 21:12,IN,250/500,502,1137.031426,0
125,30,268231,1/1/06 14:59,IL,500/1000,2006,918.26863,0
141,30,679592,2/3/22 8:02,IN,500/1000,1009,1354.439335,0
142,30,680572,10/31/04 4:54,IN,500/1000,1006,1357.112105,0
325,50,130534,7/14/12 2:35,IL,250/500,2005,1282.367374,0
94,25,215186,5/28/94 5:58,IN,100/300,507,726.0763511,0
217,42,517365,4/15/94 9:08,OH,500/1000,504,1825.807267,0
48,36,890405,10/9/97 19:34,IL,100/300,497,1078.823257,0
241,46,596691,3/25/21 3:05,IL,500/1000,1965,1106.604683,0
152,34,798666,10/16/18 23:38,IL,500/1000,1009,867.3138056,3990917
244,45,594917,12/20/03 23:57,IL,500/1000,2002,1088.967521,0
426,60,472026,11/23/00 20:42,IN,100/300,1001,1574.233926,0
277,46,139505,7/30/08 4:49,IL,250/500,512,1440.314358,0
62,28,201288,10/26/08 11:00,IL,100/300,999,1006.923216,0
210,37,479719,10/16/07 17:35,OH,250/500,2028,1279.207669,4011066
208,37,810578,6/6/95 17:08,IL,250/500,494,1150.407377,0
271,46,140093,10/8/94 21:31,IL,250/500,502,1451.424103,0
48,35,896600,3/23/01 15:23,IL,100/300,494,1082.955693,0
98,27,175899,11/21/15 15:08,OH,500/1000,500,1552.138472,0
30,31,247599,3/13/04 5:06,IL,250/500,1981,1145.512078,0
437,60,153122,3/9/18 1:55,OH,500/1000,993,1324.692389,0
183,38,617579,11/2/21 0:48,OH,500/1000,2006,1444.795259,0
275,45,735219,6/15/95 12:57,IL,500/1000,494,962.5184264,0
477,57,952758,6/30/06 22:08,OH,100/300,508,1199.438793,0
334,47,924217,4/18/14 3:05,IL,100/300,1975,1128.441132,0
155,33,511825,6/13/07 21:51,OH,100/300,1006,1739.321982,3001618
249,44,687274,1/14/21 18:47,IL,500/1000,1974,1552.702627,0
326,50,364507,4/25/12 16:12,IL,500/1000,1005,987.7362971,0
134,29,695294,1/3/23 10:53,OH,100/300,1983,1433.347804,5044673
134,29,698394,3/14/09 3:35,OH,100/300,2024,1420.597574,5029547
190,35,283798,3/9/01 18:32,IN,250/500,505,1482.252915,5057108
30,31,251404,7/21/14 16:35,IL,250/500,2031,1150.481621,0
243,45,592378,8/12/93 12:28,IL,500/1000,2014,1107.573679,0
348,51,347394,7/6/23 12:49,OH,500/1000,499,1467.849025,9097008
86,26,394921,11/26/12 0:23,OH,100/300,502,1354.144108,7024552
334,47,913595,9/29/17 22:55,IL,100/300,1982,1127.384174,0
26,39,494334,10/23/13 14:43,IN,250/500,995,772.7069501,0
143,30,683124,8/22/18 12:13,IN,500/1000,1008,1358.779469,0
229,43,766334,4/26/95 2:34,OH,250/500,492,1468.882385,8125643
172,36,787684,10/9/04 18:29,OH,250/500,998,1270.433497,0
151,36,484248,3/26/98 12:07,OH,250/500,1997,866.001681,0
330,50,360706,10/8/15 12:02,IL,500/1000,1023,991.9318243,0
213,41,396525,1/13/11 21:49,IL,500/1000,498,1230.169094,0
46,37,957618,5/6/94 19:33,IN,250/500,2018,1238.515101,0
153,34,797714,5/5/15 3:49,IL,500/1000,1002,878.2529301,4036681
118,28,284026,3/22/97 1:59,OH,250/500,1975,1072.114037,0
207,36,807709,5/2/02 8:47,IL,250/500,503,1162.741546,0
187,35,282552,9/25/97 22:42,IN,250/500,500,1481.305123,5095099
231,43,749609,3/21/02 18:13,OH,250/500,503,1496.334401,7977756
94,26,213294,2/12/15 4:56,IN,100/300,497,720.1142799,0
277,45,746497,11/27/98 8:47,IL,500/1000,493,938.3235788,0
24,33,648364,6/15/99 20:06,IL,500/1000,1001,1924.714635,0
3,38,943342,2/17/00 23:01,OH,500/1000,1006,1298.164692,0
255,41,505400,1/1/04 8:17,IL,250/500,1986,1233.184495,0
24,34,660231,1/2/96 0:16,IL,500/1000,997,1953.84818,0
95,26,213293,8/31/11 9:06,IN,100/300,502,722.6378252,0
183,35,458658,8/20/01 16:18,IL,500/1000,1002,1264.669829,0
39,22,698715,10/2/06 5:22,IN,500/1000,505,1190.853841,0
